energy_GeV,estimator,centrality,value_percent,error_percent
7.0,0,0-5%,1.0319795021155076,0.03074122068937868
19.0,0,0-5%,0.9868440644974077,0.026309696841053665
27.0,0,0-5%,1.0093859902440188,0.025883049238473177
54.0,0,0-5%,1.0111282445688523,0.020182403386570513
200.0,0,0-5%,0.9563204939482225,0.013026894885115325
7.0,0,30-40%,1.5864977487342593,0.037549054832197726
19.0,0,30-40%,1.7443182200154272,0.02912217751145363
27.0,0,30-40%,1.770830218231857,0.0301210064208135
54.0,0,30-40%,1.7583334677886246,0.028001746977679428
200.0,0,30-40%,1.8443716712344307,0.01850280095823109
